learning_time,midterm_grade,attendance_rate,homework_completion,pass_fail
3,42,78,48,1
5,81,54,99,1
6,63,78,31,1
4,63,68,87,1
6,48,82,84,1
6,72,73,45,1
1,40,51,69,-1
7,81,34,86,1
7,44,99,33,1
5,56,81,81,1
1,65,41,35,-1
1,52,52,94,-1
3,52,97,88,1
6,83,95,34,1
7,80,73,30,1
5,80,81,51,1
6,41,86,92,1
6,45,91,84,1
4,53,97,84,1
5,42,50,30,1
5,90,31,92,1
1,71,49,55,-1
7,78,53,41,1
5,65,73,33,1
2,74,40,74,1
2,88,50,84,1
2,72,91,63,1
4,81,34,58,1
8,34,43,80,1
8,58,95,51,-1
7,67,82,70,1
1,81,62,58,1
6,30,59,79,1
6,96,32,60,1
7,92,94,66,-1
7,46,59,31,1
8,88,37,45,1
8,81,96,54,-1
5,59,77,37,1
5,36,86,77,1
8,86,94,87,-1
3,96,80,74,1
5,66,77,64,1
2,40,38,76,-1
8,63,35,72,1
1,99,80,74,1
3,36,72,56,1
3,44,64,47,1
6,56,61,51,1
6,65,40,56,1
5,48,92,43,1
1,72,36,38,-1
4,31,43,85,1
1,55,89,60,1
8,69,33,59,1
7,41,80,32,1
6,78,73,89,1
5,83,47,40,1
6,74,74,41,1
6,81,99,69,-1
5,74,31,76,1
5,53,58,54,1
7,59,46,72,1
6,37,54,87,1
4,77,86,92,1
3,57,39,82,1
2,87,60,80,1
2,82,72,88,1
8,45,98,36,1
5,46,62,69,1
3,88,91,34,1
7,41,66,68,1
4,63,61,70,1
2,82,66,34,1
3,56,41,38,1
7,91,43,75,1
8,43,65,80,1
4,59,79,39,1
4,91,59,86,1
2,49,50,60,-1
6,92,85,49,1
2,99,91,66,1
4,75,70,65,1
7,34,55,67,1
6,75,36,58,1
7,76,37,68,1
7,51,31,43,1
8,53,76,49,1
6,69,58,45,1
6,97,66,68,1
4,59,82,84,1
5,78,98,63,1
1,52,92,67,1
2,72,65,65,1
1,30,54,84,-1
1,73,43,62,-1
4,70,42,47,1
6,51,34,34,1
7,53,38,69,1
4,89,33,32,1
6,79,48,67,1
8,86,77,81,-1
6,40,43,58,1
3,38,62,56,1
3,30,56,73,1
5,82,51,42,1
8,76,77,46,-1
1,88,36,95,1
1,37,92,74,1
7,71,71,92,-1
8,60,36,32,1
1,40,97,83,1
7,92,84,39,-1
4,38,90,96,1
6,86,41,63,1
5,90,97,38,1
4,60,53,92,1
2,57,30,91,-1
1,70,56,52,-1
4,69,66,94,1
2,83,35,35,-1
8,79,96,76,-1
2,43,60,75,1
6,56,47,89,1
5,43,68,53,1
1,45,91,58,1
1,78,67,89,1
7,55,95,38,1
2,86,73,99,1
4,31,86,79,1
5,95,54,56,1
8,69,45,34,1
6,44,69,62,1
5,74,49,95,1
5,30,45,48,1
8,91,79,32,-1
1,47,32,95,-1
3,35,82,53,1
1,75,38,98,1
2,30,65,71,-1
4,62,59,34,1
2,65,60,87,1
6,92,44,63,1
1,66,72,34,-1
5,64,70,39,1
8,63,58,35,1
5,50,80,58,1
4,31,57,51,1
4,83,98,49,1
3,62,37,30,1
4,32,31,33,-1
5,91,37,56,1
1,37,39,74,-1
4,50,73,63,1
4,75,71,49,1
7,44,65,61,1
1,49,95,72,1
2,44,72,99,1
2,90,39,97,1
2,67,42,33,-1
5,90,62,69,1
3,78,94,83,1
8,56,52,74,1
7,69,46,53,1
3,36,81,81,1
7,66,76,94,-1
6,44,76,80,1
2,79,65,73,1
6,67,47,53,1
3,36,69,71,1
6,89,54,63,1
4,44,61,77,1
5,79,65,45,1
5,77,42,35,1
8,74,42,72,1
6,42,72,71,1
4,31,49,63,1
8,88,50,44,1
7,71,61,67,1
1,91,74,68,1
2,63,54,77,1
3,30,55,51,-1
6,52,97,86,1
8,68,85,71,-1
6,83,71,77,1
3,30,42,97,1
4,74,58,67,1
1,92,98,48,1
3,73,52,74,1
5,99,81,62,1
7,68,33,35,1
5,99,81,45,1
1,71,94,79,1
7,36,60,96,1
6,62,92,47,1
5,80,53,73,1
7,92,94,64,-1
8,98,50,82,-1
5,56,59,76,1
3,68,69,77,1
1,54,56,89,-1
2,58,82,68,1
6,82,88,79,1
5,44,35,54,1
6,50,42,69,1
1,42,66,74,-1
1,45,97,95,1
7,96,63,47,1
4,78,64,52,1
1,94,43,89,1
7,39,84,51,1
3,36,76,54,1
2,88,81,61,1
2,69,86,79,1
8,74,73,48,-1
1,32,96,40,-1
3,76,76,99,1
3,77,72,77,1
3,97,96,50,1
5,43,53,62,1
4,87,71,70,1
4,31,78,93,1
8,37,82,79,1
1,59,75,37,-1
2,76,37,94,1
3,82,60,42,1
4,59,41,46,1
3,52,71,67,1
7,34,60,78,1
2,40,89,62,1
8,92,78,44,-1
2,56,53,43,-1
8,64,81,81,-1
4,86,81,70,1
4,62,96,82,1
3,87,60,43,1
5,62,52,79,1
8,61,52,37,1
1,59,33,35,-1
1,43,79,80,1
8,91,85,82,-1
5,74,30,93,1
5,62,73,99,1
2,46,71,75,1
4,37,86,82,1
4,63,48,70,1
5,89,50,95,1
2,91,66,58,1
2,65,77,65,1
5,36,81,99,1
2,99,83,78,1
6,98,80,37,1
3,85,64,48,1
8,94,78,65,-1
8,94,34,59,1
4,87,83,69,1
5,52,95,82,1
3,30,75,94,1
6,33,60,43,1
7,71,51,79,1
6,79,55,46,1
7,58,30,57,1
5,35,62,37,1
4,84,77,68,1
5,35,85,60,1
1,95,99,40,1
2,61,64,55,1
2,49,88,37,1
6,82,59,67,1
1,38,50,72,-1
1,78,47,50,-1
6,58,82,32,1
3,51,82,34,1
7,69,90,56,-1
1,70,43,55,-1
7,76,43,44,1
5,84,77,92,1
1,87,63,70,1
4,56,99,30,1
7,34,36,52,1
8,45,98,74,-1
5,79,35,43,1
8,75,57,74,-1
5,87,99,73,1
4,80,75,59,1
2,50,33,41,-1
8,47,92,52,-1
8,92,32,44,1
2,68,31,66,-1
6,31,30,74,1
8,64,31,63,1
8,94,99,69,-1
3,72,58,48,1
4,80,45,58,1
2,36,36,52,-1
5,67,67,74,1
7,35,93,48,1
5,64,55,86,1
5,74,39,54,1
3,62,75,88,1
8,84,64,59,-1
2,66,43,34,-1
5,98,67,88,1
7,73,68,50,1
5,41,38,57,1
1,58,85,49,1
5,94,87,95,1
5,82,38,45,1
7,89,86,89,-1
4,84,46,75,1
6,48,99,40,1
7,41,56,47,1
7,76,60,43,1
1,34,99,77,1
6,43,74,52,1
8,54,57,39,1
8,82,52,94,-1
8,71,54,39,1
6,74,44,64,1
8,54,63,64,1
2,78,80,61,1
2,79,90,73,1
3,63,64,86,1
6,89,89,72,-1
2,89,69,69,1
4,40,83,41,1
4,69,81,86,1
8,70,50,95,-1
8,74,96,81,-1
5,92,94,40,1
7,32,69,95,1
2,88,79,88,1
4,88,31,73,1
3,77,80,42,1
8,65,98,50,-1
4,59,71,61,1
3,44,66,33,1
6,52,38,38,1
5,52,68,88,1
6,55,40,35,1
5,50,30,38,1
3,48,59,61,1
8,49,60,37,1
4,53,87,72,1
3,94,69,66,1
3,88,45,66,1
6,55,93,99,1
3,62,69,61,1
3,52,37,92,1
2,79,95,34,1
5,88,79,61,1
1,40,65,94,-1
8,63,37,63,1
2,56,77,32,1
2,95,68,86,1
3,50,88,38,1
6,35,54,36,1
4,36,67,50,1
7,39,53,79,1
5,95,90,90,1
3,59,83,92,1
2,35,43,48,-1
8,42,67,68,1
8,80,82,55,-1
8,50,45,92,1
8,44,66,40,1
3,93,73,95,1
7,67,45,98,1
1,58,52,74,-1
4,59,87,77,1
1,32,64,45,-1
6,62,50,61,1
6,38,60,34,1
1,79,31,50,-1
3,60,41,57,1
5,52,84,50,1
1,39,97,54,1
2,45,80,61,1
2,86,56,70,1
2,88,90,49,1
1,78,81,74,1
7,32,94,79,1
6,49,45,74,1
3,31,94,68,1
5,84,37,88,1
3,80,94,80,1
4,31,86,33,1
7,58,46,59,1
3,98,75,48,1
6,32,97,90,1
1,49,96,97,1
2,40,76,31,-1
6,94,95,38,1
5,91,96,71,1
1,72,55,91,1
4,94,31,98,1
6,44,98,85,1
5,67,92,91,1
1,49,40,86,-1
8,37,46,34,1
2,37,61,31,-1
3,72,91,50,1
2,35,94,42,1
6,92,82,75,-1
8,43,43,64,1
3,53,80,34,1
3,94,61,97,1
2,61,74,74,1
2,97,30,35,1
6,69,76,49,1
3,61,89,64,1
3,45,90,51,1
6,58,77,88,1
5,55,38,70,1
8,74,60,44,1
7,84,56,86,1
4,87,36,38,1
5,43,73,95,1
5,99,86,57,1
4,90,74,42,1
2,52,75,71,1
5,53,40,45,1
3,49,33,71,1
2,88,73,57,1
1,78,45,94,1
3,83,92,68,1
3,78,81,43,1
3,31,86,40,1
8,84,55,92,-1
8,72,88,34,-1
3,83,51,43,1
2,56,66,84,1
7,89,69,51,1
5,65,88,39,1
8,31,50,45,1
1,33,97,37,-1
6,70,43,47,1
8,67,79,71,-1
7,78,66,47,1
7,77,68,85,-1
8,87,76,99,-1
3,88,64,53,1
1,76,48,73,-1
2,65,86,40,1
3,66,31,92,1
5,46,92,75,1
5,67,63,79,1
6,39,46,48,1
6,74,59,53,1
3,90,92,34,1
1,68,91,93,1
7,35,66,69,1
8,74,45,74,1
4,36,75,63,1
2,57,46,88,1
6,63,90,45,1
2,35,41,53,-1
7,62,52,32,1
8,50,52,68,1
7,68,48,67,1
7,41,30,51,1
6,64,31,78,1
3,31,42,37,-1
1,80,65,70,1
6,30,99,53,1
8,60,35,54,1
7,42,85,36,1
6,73,98,58,1
4,54,50,97,1
2,42,37,39,-1
3,30,48,64,-1
3,73,91,76,1
6,52,74,40,1
5,75,66,68,1
2,99,34,62,1
6,32,93,58,1
6,62,77,87,1
8,42,69,67,1
4,33,71,57,1
2,75,30,51,-1
2,81,85,70,1
3,52,52,70,1
8,55,64,53,1
1,47,60,70,-1
3,93,83,63,1
4,62,81,54,1
5,70,59,83,1
5,86,75,39,1
5,36,34,91,1
3,72,90,89,1
4,70,30,59,1
1,64,67,62,1
6,99,33,94,1
1,97,40,59,1
5,81,98,98,1
3,48,55,97,1
1,74,37,82,-1
4,85,83,56,1
1,40,99,34,-1
5,70,38,50,1
7,95,58,40,1
4,93,63,93,1
1,74,57,89,1
3,74,54,50,1
4,93,81,79,1
4,87,64,77,1
8,61,72,43,1
4,69,56,59,1
7,70,59,75,1
6,50,79,93,1
6,96,59,50,1
2,45,73,37,-1
4,65,38,37,1
5,74,72,80,1
5,88,54,46,1
1,64,91,74,1
4,32,58,80,1
4,98,71,43,1
8,62,33,71,1
4,53,30,97,1
5,35,34,41,1
5,48,90,76,1
8,95,73,84,-1
8,88,33,54,1
3,41,64,76,1
6,84,30,40,1
3,67,45,30,1
2,75,76,82,1
5,53,34,91,1
5,39,89,35,1
6,56,60,91,1
1,71,47,96,1
1,77,94,76,1
4,30,30,76,1
7,82,39,57,1
2,37,39,81,-1
7,55,81,36,1
2,46,94,39,1
3,76,81,32,1
4,63,74,74,1
7,70,73,65,1
4,91,37,70,1
4,76,40,55,1
6,53,90,45,1
6,97,83,83,-1
2,77,63,41,1
6,56,58,78,1
8,99,91,82,-1
7,46,71,69,1
2,80,54,55,1
6,45,75,90,1
3,43,64,60,1
2,95,75,35,1
8,69,55,92,-1
5,54,48,51,1
8,76,40,42,1
7,67,94,84,-1
8,39,43,65,1
4,35,41,36,1
8,63,77,38,1
1,73,77,44,1
3,50,92,40,1
3,83,96,39,1
6,50,67,44,1
5,56,30,47,1
1,78,56,93,1
5,66,40,31,1
7,99,49,94,-1
3,74,46,36,1
1,91,47,35,-1
3,94,71,67,1
8,36,81,35,1
8,61,56,54,1
5,37,75,65,1
6,39,42,57,1
3,62,92,80,1
5,93,77,46,1
7,84,88,43,-1
7,74,71,30,1
2,87,47,52,1
5,45,51,30,1
7,56,88,81,1
2,63,58,37,1
8,89,58,37,-1
8,30,33,81,1
5,66,76,61,1
4,73,66,33,1
7,56,83,44,1
2,36,68,76,1
6,34,95,97,1
2,69,93,92,1
8,48,63,54,1
8,99,52,89,-1
3,97,73,76,1
8,34,90,50,1
8,64,74,40,1
6,73,77,95,1
1,42,82,64,-1
3,56,69,78,1
5,74,56,44,1
3,90,61,55,1
7,62,35,98,1
4,43,60,70,1
8,81,37,77,1
7,92,60,80,-1
5,48,49,32,1
4,60,90,52,1
4,31,37,30,-1
2,34,83,99,1
2,44,49,88,1
2,99,55,94,1
8,35,89,40,1
2,72,72,75,1
2,55,62,62,1
1,94,98,61,1
3,39,50,53,1
3,38,86,49,1
6,32,45,73,1
8,68,85,66,-1
6,47,71,84,1
1,68,77,31,-1
7,66,52,52,1
7,62,88,79,-1
4,91,76,78,1
4,91,32,96,1
7,67,94,49,1
7,32,68,97,1
3,61,57,76,1
4,99,89,55,1
4,83,85,66,1
4,65,93,68,1
3,48,99,47,1
3,39,61,65,1
6,79,99,52,1
1,85,82,68,1
6,46,60,77,1
6,63,71,43,1
6,70,43,36,1
1,95,76,80,1
2,66,98,90,1
5,64,52,33,1
6,62,92,72,1
8,64,37,30,1
3,66,55,82,1
5,85,43,92,1
2,50,33,32,-1
8,31,96,39,1
4,92,53,32,1
8,33,72,36,1
4,97,50,59,1
4,91,80,98,1
7,41,77,97,1
5,40,63,54,1
5,30,84,78,1
5,94,67,91,1
2,63,79,60,1
7,92,69,48,1
5,98,67,70,1
6,98,38,98,1
8,52,40,98,1
8,32,42,36,1
5,95,50,46,1
2,50,78,63,1
5,85,63,72,1
4,47,33,59,1
2,79,75,56,1
1,99,91,38,1
6,53,78,77,1
5,91,75,54,1
3,77,71,33,1
5,96,35,82,1
5,36,48,31,1
2,83,88,80,1
8,51,45,42,1
3,93,74,42,1
1,49,99,73,1
3,62,39,84,1
3,58,66,97,1
2,65,59,86,1
1,36,30,98,-1
1,46,60,34,-1
1,41,68,60,-1
5,91,31,88,1
3,53,91,96,1
5,90,86,58,1
6,34,76,51,1
7,30,90,87,1
6,44,94,68,1
8,38,87,46,1
4,69,43,69,1
3,42,64,53,1
4,44,95,67,1
2,76,90,91,1
6,36,54,87,1
2,45,53,33,-1
8,85,69,57,-1
1,49,38,78,-1
3,56,57,89,1
7,76,45,50,1
5,44,61,85,1
3,63,45,44,1
6,92,43,63,1
5,75,72,67,1
3,67,59,82,1
3,52,43,86,1
3,46,33,66,1
5,52,76,63,1
2,40,95,91,1
3,85,96,40,1
7,88,50,41,1
3,73,82,35,1
5,51,70,46,1
5,57,42,80,1
1,90,66,40,1
1,52,67,62,-1
7,41,67,90,1
3,35,61,96,1
6,32,94,31,1
4,99,47,69,1
7,81,50,50,1
5,37,36,71,1
1,31,85,49,-1
6,87,48,46,1
2,59,99,54,1
8,87,57,42,-1
2,32,73,74,1
3,42,41,40,-1
4,76,62,71,1
4,44,60,60,1
1,49,41,33,-1
4,62,84,47,1
7,41,34,78,1
5,58,81,67,1
3,63,43,64,1
2,43,67,55,1
8,55,69,54,1
3,71,36,41,1
6,63,91,45,1
4,68,68,97,1
3,92,52,69,1
1,44,59,46,-1
5,65,62,67,1
8,83,40,90,-1
4,73,38,53,1
8,61,60,43,1
5,48,93,51,1
5,72,30,73,1
1,69,72,32,-1
5,90,46,68,1
1,38,96,46,-1
6,66,76,43,1
2,40,57,43,-1
3,51,59,80,1
1,32,56,82,-1
2,31,93,60,1
4,89,58,90,1
1,79,56,87,1
2,72,62,92,1
8,82,81,67,-1
5,92,88,71,1
4,33,66,58,1
5,91,59,32,1
2,72,33,72,1
1,60,74,67,1
7,87,42,40,1
7,30,62,93,1
1,35,43,49,-1
8,60,54,63,1
7,56,46,61,1
5,62,56,69,1
2,89,92,66,1
5,43,45,70,1
2,90,69,63,1
8,44,66,94,1
5,59,91,53,1
5,49,58,86,1
1,71,39,99,-1
1,43,97,67,1
3,61,48,55,1
6,95,40,83,1
3,59,80,42,1
4,39,46,74,1
7,33,83,42,1
6,34,96,78,1
2,64,71,63,1
8,75,78,38,-1
8,66,97,42,-1
4,83,43,72,1
4,49,72,46,1
8,66,96,77,-1
6,31,73,66,1
3,97,63,85,1
1,31,54,65,-1
4,69,54,48,1
1,71,85,66,1
1,48,65,86,-1
4,69,61,93,1
2,60,82,73,1
7,78,89,46,-1
1,99,91,40,1
4,55,81,42,1
3,30,39,82,-1
4,32,31,74,1
5,48,61,62,1
2,91,41,73,1
5,85,84,98,1
7,98,68,37,1
8,96,89,76,-1
4,74,81,81,1
3,76,65,56,1
4,40,44,34,1
1,49,38,76,-1
7,82,99,38,-1
1,68,66,48,-1
7,74,86,56,-1
3,39,45,38,-1
3,84,33,55,1
1,54,51,49,-1
2,35,58,57,-1
5,43,45,49,1
6,67,32,92,1
2,46,74,72,1
4,49,90,40,1
4,94,31,59,1
4,65,70,60,1
4,48,30,65,1
4,36,55,97,1
5,33,95,83,1
6,93,51,89,1
7,40,52,49,1
8,40,49,44,1
4,62,62,71,1
7,84,93,30,-1
5,57,71,71,1
8,58,32,45,1
8,46,56,51,1
6,94,50,90,1
2,68,56,65,1
5,46,75,76,1
8,72,49,91,-1
6,37,38,54,1
7,59,95,55,1
4,48,94,80,1
1,66,30,96,-1
2,55,63,56,1
1,68,37,54,-1
2,83,74,54,1
8,62,56,47,1
3,60,96,78,1
1,51,68,83,-1
6,92,54,46,1
6,87,41,37,1
8,49,47,59,1
5,71,79,70,1
8,84,75,74,-1
4,63,39,61,1
7,81,84,74,-1
4,91,43,35,1
3,65,90,98,1
4,68,73,98,1
2,80,63,81,1
5,83,96,63,1
6,77,40,78,1
2,81,59,91,1
7,62,95,85,-1
8,88,94,71,-1
1,94,60,59,1
4,86,50,57,1
6,86,73,64,1
1,96,90,81,1
3,71,90,80,1
5,77,97,69,1
1,70,41,57,-1
3,44,86,62,1
4,40,87,65,1
2,96,96,82,1
5,41,58,66,1
8,48,54,37,1
3,97,38,33,1
3,74,31,44,1
8,56,47,91,1
2,71,72,73,1
1,62,65,85,1
7,58,44,68,1
3,79,55,67,1
8,96,51,69,-1
8,50,97,57,-1
1,87,36,65,-1
5,56,55,78,1
4,86,82,56,1
4,77,52,36,1
8,93,85,57,-1
3,66,58,99,1
8,91,68,45,-1
4,33,56,79,1
4,37,39,51,1
5,96,82,77,1
2,84,97,57,1
6,58,48,67,1
4,66,95,43,1
4,98,39,72,1
3,74,85,77,1
6,87,87,34,1
7,64,84,38,1
5,98,74,60,1
5,98,31,99,1
5,44,56,50,1
6,70,67,43,1
3,60,79,58,1
4,41,50,85,1
3,80,75,52,1
2,36,99,41,1
4,55,50,53,1
5,96,72,78,1
2,41,62,78,1
4,34,45,98,1
4,80,33,59,1
1,90,96,79,1
2,60,78,79,1
1,78,33,56,-1
7,38,64,39,1
8,41,83,94,-1
5,58,66,95,1
6,97,49,37,1
5,54,72,56,1
6,76,60,97,1
3,64,31,62,1
7,99,40,95,-1
5,98,93,51,1
3,75,97,88,1
2,65,67,79,1
4,86,47,83,1
2,74,94,94,1
6,55,76,50,1
6,82,82,85,1
5,84,46,35,1
8,46,86,66,-1
4,79,69,91,1
3,66,58,34,1
1,62,36,96,-1
6,94,55,88,1
5,94,68,95,1
8,77,95,85,-1
6,53,67,42,1
3,96,75,57,1
8,46,74,34,1
2,97,60,63,1
1,84,37,73,-1
2,38,98,91,1
6,59,81,52,1
1,98,56,76,1
3,41,38,34,-1
2,50,72,81,1
2,50,78,74,1
8,79,90,69,-1
2,53,94,98,1
7,92,81,95,-1
6,75,89,66,1
8,87,31,89,-1
5,57,36,79,1
4,62,42,55,1
1,58,60,54,-1
1,89,56,57,1
4,52,89,83,1
3,57,69,84,1
8,65,62,56,1
8,52,96,90,-1
4,71,85,97,1
8,72,79,48,-1
1,46,91,75,1
2,79,37,64,1
2,57,63,59,1
2,96,31,33,1
2,64,58,33,1
4,34,43,61,1
4,60,41,69,1
6,44,47,98,1
6,94,75,68,1
2,80,51,64,1
7,36,56,93,1
2,37,54,84,-1
4,46,37,51,1
1,93,90,51,1
7,55,99,38,1
8,34,49,68,1
4,53,40,95,1
5,61,55,73,1
8,40,78,56,1
5,67,72,85,1
5,74,99,96,1
3,89,52,98,1
4,63,68,74,1
1,58,78,58,1
4,31,76,49,1
1,61,56,44,-1
5,30,91,68,1
2,82,49,89,1
3,38,30,61,-1
1,42,80,60,-1
2,99,82,42,1
7,83,63,95,-1
8,77,43,92,-1
4,57,65,36,1
4,53,95,71,1
5,57,91,74,1
3,57,54,58,1
8,55,67,84,-1
8,94,34,32,1
7,32,51,46,1
6,63,43,93,1
1,99,87,36,1
7,71,55,55,1
8,71,45,31,1
3,53,95,36,1
5,70,87,36,1
8,40,83,78,-1
4,54,82,53,1
3,92,72,72,1
6,31,99,68,1
8,66,35,97,1
6,76,89,51,1
6,95,74,69,1
5,58,36,95,1
1,31,81,97,-1
1,34,92,33,-1
4,89,41,60,1
6,54,49,69,1
3,69,56,88,1
3,73,84,70,1
7,79,32,94,1
6,94,53,72,1
2,92,53,33,1
1,79,49,54,-1
5,80,94,39,1
2,35,41,48,-1
3,82,92,70,1
1,43,59,84,-1
5,92,59,36,1
8,72,33,95,1
1,45,38,50,-1
8,62,80,62,-1
8,71,89,65,-1
6,54,43,57,1
6,92,64,49,1
3,36,79,68,1
8,76,65,42,-1
2,90,61,93,1
1,62,82,49,1
2,78,54,78,1
5,55,65,91,1
4,77,46,76,1
5,74,96,99,1
6,55,76,58,1
7,69,55,83,1
1,33,73,90,-1
8,73,39,35,1
8,33,42,44,1
3,36,61,57,1
6,95,45,91,1
4,59,74,60,1
6,87,75,41,1
3,72,90,75,1
6,36,87,80,1
8,80,40,59,1
6,79,90,42,1
7,48,33,61,1
5,65,34,56,1
6,65,94,58,1
1,59,95,51,1
5,69,81,77,1
3,52,84,36,1
5,83,40,93,1
6,78,71,94,1
8,62,46,96,1
3,93,83,42,1
2,81,80,78,1
7,45,77,56,1
7,95,71,39,1
6,93,49,73,1
3,84,55,34,1
2,38,87,65,1
4,30,93,65,1
1,45,45,91,-1
1,88,52,76,1
6,59,70,74,1
7,33,70,96,1
1,31,88,48,-1
8,74,61,82,-1
3,64,52,88,1
7,82,72,32,1
5,65,36,70,1
1,97,51,81,1
8,46,65,50,1
5,92,87,77,1
3,98,35,96,1
4,50,75,96,1
5,51,75,86,1
2,73,48,43,1
2,93,43,73,1
4,82,80,52,1
1,45,76,55,-1
5,88,77,58,1
6,55,56,60,1
8,55,33,75,1
3,84,86,36,1
2,30,39,70,-1
2,37,67,80,1
8,57,72,56,1
8,34,54,95,1
8,35,91,37,1
1,73,82,32,1
5,85,65,35,1
5,62,52,54,1
3,64,41,87,1
8,99,88,38,-1
6,36,60,56,1
3,68,94,56,1
4,97,52,73,1
5,61,45,36,1
8,40,56,41,1
4,36,33,65,1
5,62,81,59,1
3,68,72,33,1
7,98,43,77,1
7,86,45,40,1
6,50,70,42,1
6,84,75,84,1
2,84,96,52,1
8,93,35,34,1
6,31,42,89,1
6,80,60,97,1
1,68,38,72,-1
2,83,73,81,1
6,41,45,98,1
8,95,74,63,-1
1,59,57,80,-1
6,81,54,46,1
4,62,42,65,1
3,94,97,30,1
5,92,49,77,1
6,72,69,57,1
5,72,38,49,1
3,96,42,94,1
2,93,94,63,1
6,54,66,31,1
4,31,42,77,1
3,59,48,92,1
5,97,68,58,1
3,69,31,58,1
2,61,56,98,1
6,67,60,82,1
1,47,89,81,1
3,66,56,38,1
5,83,63,54,1
6,83,99,77,-1
2,35,48,53,-1
5,34,58,64,1
1,36,45,73,-1
2,92,91,52,1
7,33,45,38,1
5,86,31,67,1
2,41,86,98,1
3,47,65,96,1
4,86,84,73,1
1,86,59,79,1
5,90,82,66,1
1,83,63,63,1
1,83,71,78,1
7,64,48,62,1
5,38,32,50,1
8,35,77,90,1
8,87,48,51,1
2,84,54,77,1
5,34,73,45,1
6,82,56,60,1
5,82,61,68,1
7,37,46,45,1
2,62,79,46,1
7,63,67,72,1
1,37,67,91,-1
5,62,61,54,1
4,31,49,53,1
8,78,43,67,1
4,45,84,33,1
5,72,91,92,1
3,83,36,49,1
1,34,81,63,-1
3,99,77,89,1
5,40,62,79,1
2,72,42,88,1
5,36,75,95,1
1,72,35,66,-1
6,73,82,65,1
1,53,46,30,-1
4,58,37,43,1
4,82,30,62,1
8,72,65,97,-1
1,67,76,70,1
8,95,48,72,-1
2,52,58,76,1
5,75,33,83,1
1,89,47,45,-1
7,68,96,58,-1
5,80,92,31,1
4,37,56,63,1
8,51,59,63,1
5,73,50,66,1
1,93,66,85,1
7,59,73,55,1
6,96,42,89,1
3,89,93,72,1
4,31,46,58,1
5,35,94,65,1
2,68,40,56,-1
5,98,65,46,1
3,91,41,98,1
7,31,79,51,1
7,57,75,44,1
8,31,60,90,1
3,96,76,96,1
3,40,96,93,1
8,44,32,72,1
5,31,57,58,1
8,80,94,35,-1
6,97,80,86,-1
7,83,36,58,1
6,59,60,49,1
2,57,55,54,1
8,64,50,84,1
4,82,34,70,1
5,99,76,99,1
2,96,96,91,1
7,57,33,89,1
3,97,89,41,1
8,64,89,38,-1
6,98,40,59,1
3,56,52,93,1
7,37,92,89,1
3,50,40,82,1
7,71,31,34,1
3,97,38,66,1
1,66,98,57,1
1,67,66,91,1
2,70,82,86,1
2,39,31,76,-1
8,92,90,90,-1
1,76,35,84,-1
1,75,38,42,-1
8,89,54,96,-1
6,86,73,70,1
6,97,82,95,-1
7,35,48,46,1
2,32,41,43,-1
4,41,36,35,1
5,62,62,80,1
6,82,99,86,-1
8,67,67,36,1
2,91,32,76,1
6,51,85,90,1
8,38,39,95,1
3,82,40,42,1
6,73,95,31,1
2,66,92,58,1
7,38,57,96,1
8,56,49,48,1
8,89,72,94,-1
6,35,78,85,1
4,87,41,80,1
4,68,98,87,1
3,45,89,52,1
2,33,87,91,1
8,85,73,47,-1
4,58,82,48,1
7,99,87,64,-1
3,37,61,62,1
2,75,36,36,-1
2,91,77,48,1
6,92,37,74,1
1,37,53,66,-1
5,74,96,91,1
3,38,78,51,1
2,42,81,72,1
6,57,89,66,1
4,52,83,96,1
4,50,52,78,1
5,38,34,66,1
1,70,47,40,-1
8,95,61,35,-1
3,96,48,95,1
8,81,94,54,-1
7,97,80,74,-1
2,95,70,66,1
8,45,76,63,1
5,58,53,88,1
3,83,75,84,1
8,67,52,52,1
8,39,44,80,1
7,55,72,57,1
5,76,54,80,1
8,42,83,95,-1
4,82,93,51,1
3,58,55,48,1
6,39,62,55,1
4,61,48,91,1
5,44,36,85,1
2,42,48,47,-1
2,65,89,45,1
5,64,78,65,1
6,80,37,88,1
7,95,77,31,-1
7,33,50,98,1
6,39,49,43,1
3,69,41,74,1
1,51,32,32,-1
5,79,45,59,1
1,48,59,87,-1
8,53,81,38,1
1,94,44,61,1
7,44,46,31,1
3,99,63,79,1
8,37,40,31,1
2,31,35,46,-1
4,76,35,95,1
8,33,67,81,1
2,72,41,98,1
1,79,70,49,1
4,82,46,94,1
7,68,99,46,-1
3,48,35,82,1
4,46,79,61,1
2,40,78,39,1
7,56,79,98,1
2,30,37,56,-1
7,33,46,83,1
1,89,96,81,1
2,44,50,51,-1
6,57,64,38,1
7,38,86,94,1
5,30,92,61,1
4,95,85,60,1
6,82,33,95,1
3,39,88,42,1
2,32,49,33,-1
1,40,65,48,-1
8,30,62,89,1
8,52,71,41,1
7,99,84,78,-1
2,99,43,54,1
7,63,97,34,1
2,58,41,64,-1
4,97,55,67,1
6,91,35,48,1
1,62,37,90,-1
1,52,46,45,-1
6,81,92,76,-1
8,44,83,50,1
1,90,43,46,-1
4,69,43,68,1
6,85,85,46,1
8,46,99,47,-1
3,31,38,52,-1
2,31,44,91,-1
3,64,84,77,1
6,97,81,30,1
8,98,80,44,-1
3,59,48,98,1
8,98,71,51,-1
7,32,55,93,1
5,49,59,50,1
8,95,76,92,-1
3,77,85,95,1
